2011 Statistical Area Level 1  (SA1) 7-Digit Code,Usual Resident Population,Score,Ranking within Australia Rank,Ranking within Australia Decile, Ranking within Australia Percentile,Ranking within State or Territory State,Ranking within State or Territory Rank,Ranking within State or Territory Decile,Ranking within State or Territory Percentile
2107323,571,1001,21874,5,42,VIC,4817,4,38
2107324,395,1135,51735,10,99,VIC,12779,10,99
2107325,586,1098,45908,9,88,VIC,11331,9,88
2107326,508,1116,49427,10,95,VIC,12240,10,95
2107327,428,1009,23672,5,46,VIC,5280,5,41
2107328,506,866,4745,1,10,VIC,998,1,8
2107329,337,987,19037,4,37,VIC,4153,4,33
2107330,370,841,3456,1,7,VIC,681,1,6
2107331,433,941,11745,3,23,VIC,2511,2,20
2107332,386,946,12443,3,24,VIC,2672,3,21
2107333,557,995,20583,4,40,VIC,4517,4,35
2107334,407,945,12297,3,24,VIC,2643,3,21
2107335,240,1015,25160,5,48,VIC,5637,5,44
2107401,293,1089,43884,9,84,VIC,10763,9,84
2107402,559,1056,35500,7,68,VIC,8434,7,66
2107403,175,1108,48080,10,92,VIC,11899,10,92
2107404,202,1087,43483,9,83,VIC,10653,9,83
2107405,897,1057,35842,7,69,VIC,8540,7,66
2107406,540,1110,48366,10,92,VIC,11973,10,93
2107407,295,931,10471,2,20,VIC,2226,2,18
2107409,215,1015,25124,5,48,VIC,5623,5,44
2107411,525,923,9592,2,19,VIC,2037,2,16
2107412,528,949,12865,3,25,VIC,2765,3,22
2107413,453,799,2030,1,4,VIC,333,1,3
2107414,411,673,590,1,2,VIC,72,1,1
2107415,600,1111,48595,10,93,VIC,12032,10,93
2107416,274,1074,40208,8,77,VIC,9805,8,76
2107417,379,925,9750,2,19,VIC,2066,2,16
2107418,424,933,10723,3,21,VIC,2282,2,18
2107419,328,988,19306,4,37,VIC,4217,4,33
2107420,422,924,9704,2,19,VIC,2058,2,16
2107421,296,824,2767,1,6,VIC,515,1,4
2107422,517,830,2971,1,6,VIC,558,1,5
2107423,440,820,2648,1,6,VIC,479,1,4
2107424,247,925,9733,2,19,VIC,2063,2,16
