2011 Statistical Area Level 1  (SA1) 7-Digit Code,Usual Resident Population,Score,Ranking within Australia Rank,Ranking within Australia Decile, Ranking within Australia Percentile,Ranking within State or Territory State,Ranking within State or Territory Rank,Ranking within State or Territory Decile,Ranking within State or Territory Percentile
1100102,605,998,21326,5,41,NSW,7493,5,44
1100105,262,909,8132,2,16,NSW,3139,2,19
1100106,240,793,1886,1,4,NSW,763,1,5
1100107,236,1032,29208,6,56,NSW,9840,6,58
1100108,230,1013,24713,5,48,NSW,8484,5,50
1100109,332,969,15946,4,31,NSW,5788,4,34
1100110,528,923,9620,2,19,NSW,3659,3,22
1100111,567,999,21467,5,41,NSW,7540,5,45
1100112,441,1046,32962,7,63,NSW,10902,7,64
1100113,453,914,8641,2,17,NSW,3332,2,20
1100114,362,934,10874,3,21,NSW,4080,3,24
1100115,481,874,5242,1,10,NSW,2012,2,12
1100116,442,945,12278,3,24,NSW,4564,3,27
1100117,267,973,16635,4,32,NSW,6012,4,36
1100118,326,1021,26520,6,51,NSW,9032,6,53
1100119,282,930,10311,2,20,NSW,3890,3,23
1100120,416,993,20359,4,39,NSW,7191,5,42
1100121,221,893,6646,2,13,NSW,2574,2,16
1100122,316,1029,28559,6,55,NSW,9639,6,57
1100123,318,1024,27325,6,52,NSW,9269,6,55
1100124,450,716,856,1,2,NSW,321,1,2
1100125,390,1060,36555,7,70,NSW,11940,7,70
1100126,280,1100,46361,9,89,NSW,14799,9,87
1100127,419,970,16065,4,31,NSW,5830,4,35
1100128,255,879,5551,2,11,NSW,2140,2,13
1100129,440,881,5711,2,11,NSW,2208,2,13
1100130,283,882,5821,2,12,NSW,2256,2,14
1100131,302,1014,24923,5,48,NSW,8561,5,50
1100132,610,903,7504,2,15,NSW,2911,2,17
1100133,340,978,17448,4,34,NSW,6272,4,37
1100134,357,1088,43769,9,84,NSW,13999,9,82
1100135,399,989,19613,4,38,NSW,6952,5,41
1100136,521,971,16315,4,32,NSW,5917,4,35
1100137,236,944,12095,3,24,NSW,4499,3,27
1100138,408,742,1099,1,3,NSW,436,1,3
1100139,214,900,7265,2,14,NSW,2814,2,17
1100140,278,868,4854,1,10,NSW,1861,2,11
1100141,592,873,5133,1,10,NSW,1976,2,12
1100142,274,919,9170,2,18,NSW,3518,3,21
1100143,389,850,3881,1,8,NSW,1517,1,9
1100144,224,994,20555,4,40,NSW,7261,5,43
1100145,311,843,3533,1,7,NSW,1408,1,9
1100146,421,918,8976,2,18,NSW,3443,3,21
1100147,545,909,8157,2,16,NSW,3146,2,19
1100148,362,852,3959,1,8,NSW,1546,1,10
1100149,383,990,19794,4,38,NSW,7002,5,41
1100150,286,985,18632,4,36,NSW,6645,4,39
1100151,292,1025,27638,6,53,NSW,9368,6,55
1100152,232,657,531,1,2,NSW,188,1,2
1100153,533,743,1111,1,3,NSW,442,1,3
1100154,564,1030,28781,6,55,NSW,9705,6,57
1100155,305,877,5447,2,11,NSW,2094,2,13
1100156,369,1046,32939,7,63,NSW,10891,7,64
1100157,539,914,8595,2,17,NSW,3313,2,20
1100158,314,953,13424,3,26,NSW,4948,3,29
1100159,98,859,4294,1,9,NSW,1668,1,10
1100161,361,954,13616,3,26,NSW,5010,3,30
1100201,601,970,16066,4,31,NSW,5831,4,35
1100202,353,948,12654,3,25,NSW,4683,3,28
1100203,310,978,17444,4,34,NSW,6271,4,37
1100204,281,1011,24178,5,46,NSW,8325,5,49
1100205,587,924,9645,2,19,NSW,3670,3,22
1100206,445,1005,22827,5,44,NSW,7948,5,47
1100207,496,1052,34459,7,66,NSW,11341,7,67
1100208,327,1065,38032,8,73,NSW,12327,8,72
1100209,212,1005,22903,5,44,NSW,7969,5,47
1100210,297,957,14062,3,27,NSW,5147,4,31
1100211,186,1009,23677,5,46,NSW,8197,5,48
1100212,379,1045,32571,7,62,NSW,10781,7,63
1100213,284,1038,30783,6,59,NSW,10276,6,60
1100214,258,983,18328,4,35,NSW,6551,4,39
1100215,274,1011,24198,5,47,NSW,8331,5,49
1100216,476,1021,26431,6,51,NSW,9006,6,53
1100217,331,1045,32778,7,63,NSW,10849,7,64
1100218,313,1016,25339,5,49,NSW,8677,6,51
1100219,353,1006,23024,5,44,NSW,8004,5,47
1100220,321,952,13244,3,26,NSW,4877,3,29
1100221,274,1037,30632,6,59,NSW,10236,6,60
1100222,500,1059,36445,7,70,NSW,11906,7,70
1100223,423,987,19208,4,37,NSW,6833,4,40
1100224,251,991,19906,4,38,NSW,7039,5,42
1100225,316,1013,24730,5,48,NSW,8491,5,50
1100226,579,1041,31785,7,61,NSW,10571,7,62
1100227,404,1088,43664,9,84,NSW,13965,9,82
1100228,351,1056,35693,7,68,NSW,11693,7,69
1100229,219,1050,33999,7,65,NSW,11220,7,66
1100230,284,926,9927,2,19,NSW,3766,3,22
1100231,475,919,9108,2,18,NSW,3501,3,21
1100232,209,998,21179,5,41,NSW,7454,5,44
1100233,264,1028,28187,6,54,NSW,9537,6,56
1100301,598,1007,23173,5,45,NSW,8050,5,47
1100302,136,1119,49817,10,95,NSW,16001,10,94
1100303,246,1019,26175,5,50,NSW,8932,6,53
1100304,519,1072,39766,8,76,NSW,12785,8,75
1100305,438,1086,43116,9,83,NSW,13792,9,81
1100306,388,1009,23769,5,46,NSW,8220,5,48
1100307,693,911,8262,2,16,NSW,3184,2,19
1100308,300,1066,38221,8,73,NSW,12378,8,73
1100309,476,1045,32668,7,63,NSW,10813,7,64
1100310,443,962,14724,3,29,NSW,5367,4,32
1100311,579,1004,22640,5,44,NSW,7897,5,47
1100312,602,989,19534,4,38,NSW,6934,5,41
1100313,421,1045,32579,7,62,NSW,10785,7,63
1100314,497,995,20673,4,40,NSW,7300,5,43
1100401,185,1031,29029,6,56,NSW,9782,6,58
1100402,294,992,20157,4,39,NSW,7120,5,42
1100403,107,946,12437,3,24,NSW,4610,3,27
1100404,845,1144,52209,10,100,NSW,16975,10,100
1100405,301,1125,50724,10,97,NSW,16338,10,96
1100406,254,1113,48918,10,94,NSW,15666,10,92
1100407,437,1108,47967,10,92,NSW,15347,9,90
1100408,333,1139,51942,10,99,NSW,16849,10,99
1100409,148,1145,52258,10,100,NSW,16994,10,100
1100410,381,1107,47763,10,91,NSW,15267,9,90
1100411,286,1119,49889,10,95,NSW,16030,10,94
1100412,309,1117,49645,10,95,NSW,15934,10,94
1100413,238,1014,24880,5,48,NSW,8544,5,50
1100414,227,1122,50240,10,96,NSW,16168,10,95
1100415,410,1108,48079,10,92,NSW,15389,9,90
1100416,403,1099,46142,9,88,NSW,14735,9,87
1100417,270,1118,49744,10,95,NSW,15973,10,94
1100419,156,1062,37115,8,71,NSW,12092,8,71
1100420,417,1078,41365,8,79,NSW,13247,8,78
1100421,226,1028,28385,6,54,NSW,9593,6,56
1100422,304,1024,27365,6,53,NSW,9283,6,55
1100423,155,970,16081,4,31,NSW,5834,4,35
1100424,280,1100,46257,9,88,NSW,14770,9,87
1100425,504,1059,36491,7,70,NSW,11921,7,70
1100426,334,1099,46122,9,88,NSW,14730,9,86
1100427,224,1073,40037,8,77,NSW,12856,8,76
1100428,361,1107,47895,10,92,NSW,15315,9,90
1100429,278,1066,38271,8,73,NSW,12391,8,73
1100430,228,1103,47009,9,90,NSW,15005,9,88
1100431,577,1101,46543,9,89,NSW,14855,9,87
1100432,316,1091,44377,9,85,NSW,14170,9,83
1100433,306,973,16537,4,32,NSW,5981,4,35
1100434,295,972,16407,4,32,NSW,5944,4,35
1100501,170,1091,44332,9,85,NSW,14157,9,83
1100502,418,917,8898,2,17,NSW,3407,2,20
1100503,474,1062,37058,8,71,NSW,12075,8,71
1100504,566,1003,22429,5,43,NSW,7841,5,46
1100505,578,872,5098,1,10,NSW,1958,2,12
1100506,440,738,1058,1,3,NSW,413,1,3
1100507,284,885,6018,2,12,NSW,2335,2,14
1100508,231,737,1047,1,2,NSW,407,1,3
1100509,435,901,7377,2,15,NSW,2860,2,17
1100510,382,889,6307,2,12,NSW,2442,2,15
1100511,247,861,4441,1,9,NSW,1717,2,11
1100512,493,833,3117,1,6,NSW,1254,1,8
1100513,345,1060,36684,7,70,NSW,11979,7,70
1100514,390,1055,35245,7,68,NSW,11563,7,68
1100515,451,1048,33604,7,64,NSW,11102,7,65
1100516,282,1025,27549,6,53,NSW,9343,6,55
1100517,515,1040,31371,6,60,NSW,10455,7,62
1100518,227,1046,32891,7,63,NSW,10881,7,64
1100519,266,948,12726,3,25,NSW,4710,3,28
1100520,387,1042,32024,7,61,NSW,10625,7,63
1100521,257,843,3524,1,7,NSW,1403,1,9
1100522,238,1023,27107,6,52,NSW,9211,6,54
1100523,190,848,3781,1,8,NSW,1486,1,9
1100524,308,831,3035,1,6,NSW,1215,1,8
1100525,368,877,5430,2,11,NSW,2088,2,13
1100526,221,1003,22294,5,43,NSW,7793,5,46
1100527,445,989,19514,4,38,NSW,6927,5,41
1100529,251,974,16761,4,32,NSW,6055,4,36
1100530,265,890,6427,2,13,NSW,2485,2,15
1100601,572,901,7312,2,14,NSW,2835,2,17
1100602,378,912,8417,2,17,NSW,3241,2,19
1100603,289,828,2906,1,6,NSW,1161,1,7
1100604,481,872,5078,1,10,NSW,1950,2,12
1100605,320,907,7923,2,16,NSW,3066,2,18
1100606,321,950,12935,3,25,NSW,4774,3,28
1100607,245,998,21246,5,41,NSW,7475,5,44
1100608,379,829,2942,1,6,NSW,1175,1,7
1100609,392,900,7233,2,14,NSW,2800,2,17
1100610,259,749,1182,1,3,NSW,474,1,3
1100611,303,971,16310,4,32,NSW,5916,4,35
1100612,412,1004,22602,5,43,NSW,7888,5,47
1100613,497,1047,33114,7,63,NSW,10938,7,64
1100614,268,951,13188,3,26,NSW,4857,3,29
1100615,162,1012,24509,5,47,NSW,8423,5,50
1100616,381,940,11586,3,23,NSW,4336,3,26
1100617,403,1083,42574,9,81,NSW,13612,8,80
1100618,218,1060,36675,7,70,NSW,11974,7,70
1100619,437,1037,30655,6,59,NSW,10240,6,60
1100620,339,1000,21785,5,42,NSW,7632,5,45
1100621,321,1003,22362,5,43,NSW,7815,5,46
1100701,245,1014,24845,5,48,NSW,8532,5,50
1100702,339,1064,37698,8,72,NSW,12252,8,72
1100703,379,942,11907,3,23,NSW,4443,3,26
1100704,457,985,18636,4,36,NSW,6647,4,39
1100705,329,959,14260,3,28,NSW,5220,4,31
1100706,221,1017,25651,5,49,NSW,8771,6,52
1100707,296,998,21371,5,41,NSW,7508,5,44
1100708,417,1057,35768,7,69,NSW,11715,7,69
1100709,305,1077,40936,8,78,NSW,13116,8,77
1100710,366,1027,28051,6,54,NSW,9497,6,56
1100801,363,1029,28514,6,55,NSW,9628,6,57
1100802,595,1058,36244,7,69,NSW,11852,7,70
1100803,384,876,5401,2,11,NSW,2074,2,13
1100804,444,859,4307,1,9,NSW,1672,1,10
1100805,283,753,1232,1,3,NSW,495,1,3
1100806,391,991,19913,4,38,NSW,7043,5,42
1100807,461,1016,25415,5,49,NSW,8696,6,51
1100808,526,975,16850,4,33,NSW,6083,4,36
1100810,274,1086,43262,9,83,NSW,13846,9,81
1100811,330,1024,27167,6,52,NSW,9224,6,54
1100812,244,1133,51528,10,99,NSW,16659,10,98
1100813,443,1106,47663,10,91,NSW,15232,9,89
1100814,490,1051,34170,7,65,NSW,11263,7,66
1100815,487,987,19100,4,37,NSW,6799,4,40
1100816,449,880,5663,2,11,NSW,2185,2,13
1100817,328,1021,26621,6,51,NSW,9060,6,53
1100818,346,963,15010,3,29,NSW,5465,4,32
1100819,472,1101,46649,9,89,NSW,14889,9,87
1100820,301,1014,24776,5,48,NSW,8509,5,50
1100821,486,1080,41771,8,80,NSW,13383,8,79
1100822,251,1111,48571,10,93,NSW,15558,10,91
1100823,257,959,14306,3,28,NSW,5238,4,31
1100901,228,1017,25635,5,49,NSW,8764,6,52
1100902,341,997,21007,4,40,NSW,7403,5,44
1100903,744,1033,29628,6,57,NSW,9952,6,59
1100904,363,1075,40489,8,78,NSW,12988,8,76
1100905,412,989,19605,4,38,NSW,6950,5,41
1100906,689,1010,23868,5,46,NSW,8245,5,49
1100907,405,1026,27682,6,53,NSW,9384,6,55
1100908,521,995,20656,4,40,NSW,7295,5,43
1100909,539,1011,24265,5,47,NSW,8353,5,49
1100910,421,999,21408,5,41,NSW,7525,5,44
1100911,412,983,18341,4,35,NSW,6555,4,39
1100912,285,957,14006,3,27,NSW,5130,3,30
1100913,652,1011,24232,5,47,NSW,8341,5,49
1100914,431,1012,24300,5,47,NSW,8364,5,49
1100915,720,983,18266,4,35,NSW,6529,4,39
1100916,465,1038,30854,6,59,NSW,10291,7,61
1100917,253,940,11686,3,23,NSW,4372,3,26
1100918,533,1002,22186,5,43,NSW,7759,5,46
1100919,429,1008,23578,5,45,NSW,8170,5,48
1100920,397,906,7862,2,15,NSW,3044,2,18
1100921,344,1023,26923,6,52,NSW,9155,6,54
1100922,639,964,15074,3,29,NSW,5489,4,33
1101001,125,925,9739,2,19,NSW,3706,3,22
1101002,378,1159,52532,10,100,NSW,17112,10,100
1101003,340,1142,52110,10,100,NSW,16928,10,99
1101004,290,1078,41303,8,79,NSW,13230,8,78
1101005,707,1067,38373,8,73,NSW,12423,8,73
1101006,466,963,15019,3,29,NSW,5470,4,32
1101007,271,1018,25886,5,50,NSW,8843,6,52
1101008,477,934,10809,3,21,NSW,4055,3,24
1101009,371,1040,31276,6,60,NSW,10436,7,61
1101010,343,972,16354,4,32,NSW,5928,4,35
1101012,95,1091,44328,9,85,NSW,14154,9,83
1101014,168,1097,45720,9,87,NSW,14609,9,86
1101015,588,1017,25572,5,49,NSW,8742,6,52
1101101,365,1067,38553,8,74,NSW,12475,8,73
1101102,249,1115,49187,10,94,NSW,15766,10,93
1101103,248,1103,46925,9,90,NSW,14976,9,88
1101104,549,1013,24553,5,47,NSW,8433,5,50
1101105,515,1118,49664,10,95,NSW,15941,10,94
1101106,350,1116,49434,10,95,NSW,15857,10,93
1101107,342,1064,37700,8,72,NSW,12253,8,72
1101108,437,971,16254,4,31,NSW,5896,4,35
1101109,301,1131,51347,10,98,NSW,16588,10,97
1101110,342,1104,47202,9,90,NSW,15072,9,88
1101111,415,1121,50132,10,96,NSW,16122,10,95
1101112,185,1088,43585,9,83,NSW,13938,9,82
1101113,112,1063,37524,8,72,NSW,12206,8,72
1101114,302,1084,42681,9,82,NSW,13650,8,80
1101115,277,1101,46616,9,89,NSW,14880,9,87
1101116,310,1061,36994,8,71,NSW,12056,8,71
1101117,279,1088,43744,9,84,NSW,13992,9,82
1101118,349,1044,32543,7,62,NSW,10772,7,63
1101119,292,1130,51264,10,98,NSW,16558,10,97
1101120,526,1139,51966,10,99,NSW,16861,10,99
1101121,308,1101,46492,9,89,NSW,14840,9,87
1101122,283,1085,43012,9,82,NSW,13757,9,81
1101123,235,1116,49373,10,94,NSW,15839,10,93
1101124,871,1138,51877,10,99,NSW,16814,10,99
1101125,506,1057,35952,7,69,NSW,11768,7,69
1101126,477,1080,41858,8,80,NSW,13410,8,79
1101127,330,1130,51310,10,98,NSW,16576,10,97
1101128,262,1098,46003,9,88,NSW,14697,9,86
1101129,367,1128,51056,10,98,NSW,16481,10,97
1101130,567,1143,52169,10,100,NSW,16956,10,99
1101131,212,1125,50754,10,97,NSW,16347,10,96
1101132,303,1129,51189,10,98,NSW,16528,10,97
1101133,326,1125,50705,10,97,NSW,16331,10,96
1101134,299,1122,50360,10,96,NSW,16211,10,95
1101135,266,1120,50048,10,96,NSW,16087,10,94
1101136,306,1107,47800,10,91,NSW,15281,9,90
1101137,306,1109,48205,10,92,NSW,15427,10,91
1101138,536,1133,51545,10,99,NSW,16668,10,98
1101139,212,1117,49648,10,95,NSW,15937,10,94
1101140,370,1128,51057,10,98,NSW,16482,10,97
1101201,208,1085,42860,9,82,NSW,13712,9,81
1101202,238,1148,52361,10,100,NSW,17038,10,100
1101203,584,1152,52449,10,100,NSW,17079,10,100
1101204,335,1160,52540,10,100,NSW,17115,10,100
1101205,334,1155,52497,10,100,NSW,17097,10,100
1101206,366,1157,52511,10,100,NSW,17102,10,100
1101207,234,1050,33893,7,65,NSW,11185,7,66
1101208,449,1044,32422,7,62,NSW,10734,7,63
1101209,717,1140,52034,10,99,NSW,16890,10,99
1101210,472,1110,48405,10,93,NSW,15489,10,91
1101211,616,1148,52345,10,100,NSW,17033,10,100
1101212,340,1128,51101,10,98,NSW,16501,10,97
1101213,528,1115,49177,10,94,NSW,15762,10,93
1101214,546,1131,51367,10,98,NSW,16594,10,97
1101215,459,1113,48960,10,94,NSW,15681,10,92
1101216,342,1147,52328,10,100,NSW,17027,10,100
1101218,500,1099,46145,9,88,NSW,14738,9,87
1101219,584,1041,31728,7,61,NSW,10553,7,62
1101220,456,1060,36679,7,70,NSW,11975,7,70
1101221,301,1113,48811,10,93,NSW,15642,10,92
1101222,510,1119,49873,10,95,NSW,16022,10,94
1101223,546,1119,49916,10,95,NSW,16040,10,94
1101224,558,1134,51637,10,99,NSW,16710,10,98
1101227,421,1163,52554,10,100,NSW,17126,10,100
1101228,419,1079,41424,8,79,NSW,13267,8,78
1101229,439,909,8141,2,16,NSW,3142,2,19
1101230,248,829,2935,1,6,NSW,1171,1,7
1101231,312,1125,50715,10,97,NSW,16333,10,96
1101232,494,1124,50574,10,97,NSW,16281,10,96
1101301,269,844,3560,1,7,NSW,1415,1,9
1101302,477,924,9694,2,19,NSW,3686,3,22
1101303,265,951,13163,3,26,NSW,4847,3,29
1101304,464,968,15764,3,30,NSW,5727,4,34
1101305,213,1010,23948,5,46,NSW,8268,5,49
1101306,184,993,20339,4,39,NSW,7187,5,42
1101307,304,963,15012,3,29,NSW,5466,4,32
1101308,241,1006,23026,5,44,NSW,8005,5,47
1101401,352,937,11196,3,22,NSW,4193,3,25
1101402,370,929,10216,2,20,NSW,3856,3,23
1101403,400,921,9341,2,18,NSW,3574,3,21
1101404,454,924,9628,2,19,NSW,3664,3,22
1101405,446,908,8046,2,16,NSW,3108,2,19
1101406,486,993,20292,4,39,NSW,7164,5,42
1101407,399,1030,28812,6,55,NSW,9712,6,57
1101408,218,1004,22708,5,44,NSW,7913,5,47
1101409,416,1006,22981,5,44,NSW,7990,5,47
1101410,417,937,11253,3,22,NSW,4218,3,25
1101411,483,934,10817,3,21,NSW,4058,3,24
1101412,493,978,17466,4,34,NSW,6278,4,37
1101413,352,870,5005,1,10,NSW,1926,2,12
1101414,208,1052,34553,7,66,NSW,11360,7,67
1101415,340,1017,25609,5,49,NSW,8756,6,52
1101416,455,1008,23492,5,45,NSW,8153,5,48
1101418,371,1078,41149,8,79,NSW,13176,8,77
1101503,224,891,6525,2,13,NSW,2526,2,15
1101504,197,1025,27583,6,53,NSW,9353,6,55
1101505,109,1073,40094,8,77,NSW,12874,8,76
1101506,364,1007,23215,5,45,NSW,8066,5,48
1101507,224,1059,36364,7,70,NSW,11885,7,70
1101508,373,1033,29413,6,56,NSW,9894,6,58
1101509,501,1048,33509,7,64,NSW,11070,7,65
1101510,377,1050,33911,7,65,NSW,11190,7,66
1101511,228,966,15353,3,30,NSW,5585,4,33
1101512,206,1039,30984,6,59,NSW,10334,7,61
1101513,357,1035,29976,6,58,NSW,10036,6,59
1101601,148,1114,49136,10,94,NSW,15743,10,92
1101602,441,930,10408,2,20,NSW,3926,3,23
1101603,295,1035,30012,6,58,NSW,10058,6,59
1101604,172,1031,29144,6,56,NSW,9818,6,58
1101605,212,1051,34192,7,66,NSW,11265,7,66
1101606,391,1106,47695,10,91,NSW,15246,9,89
1101607,215,1040,31397,6,60,NSW,10462,7,62
1101608,270,1060,36725,7,70,NSW,11989,7,70
1101609,269,1100,46368,9,89,NSW,14800,9,87
1101610,662,1074,40286,8,77,NSW,12924,8,76
1101611,470,1042,31948,7,61,NSW,10610,7,62
1101613,236,1095,45279,9,87,NSW,14462,9,85
1101614,297,1054,35001,7,67,NSW,11490,7,68
1101615,359,1103,47024,9,90,NSW,15013,9,88
1101616,445,1016,25280,5,49,NSW,8663,6,51
1101617,414,1046,32972,7,63,NSW,10907,7,64
1101618,552,1099,46171,9,88,NSW,14743,9,87
1101619,468,1005,22756,5,44,NSW,7925,5,47
1101620,218,1069,38866,8,74,NSW,12553,8,74
1101701,560,912,8357,2,16,NSW,3221,2,19
1101702,241,933,10765,3,21,NSW,4039,3,24
1101703,411,1001,21911,5,42,NSW,7661,5,45
1101704,364,862,4497,1,9,NSW,1735,2,11
1101705,230,770,1472,1,3,NSW,594,1,4
1101706,431,839,3375,1,7,NSW,1349,1,8
1101708,395,986,18936,4,37,NSW,6744,4,40
1101709,607,1027,27981,6,54,NSW,9479,6,56
1101710,377,1078,41331,8,79,NSW,13239,8,78
1101711,289,1053,34919,7,67,NSW,11461,7,67
1101712,502,929,10307,2,20,NSW,3889,3,23
1101713,427,949,12819,3,25,NSW,4738,3,28
1101716,473,890,6386,2,13,NSW,2467,2,15
1101717,254,912,8427,2,17,NSW,3249,2,19
1101718,401,838,3297,1,7,NSW,1324,1,8
1101719,370,998,21181,5,41,NSW,7455,5,44
1101720,254,1010,23933,5,46,NSW,8265,5,49
1101721,413,866,4749,1,10,NSW,1822,2,11
1101722,511,963,14946,3,29,NSW,5441,4,32
1101801,326,1027,27977,6,54,NSW,9477,6,56
1101802,291,1058,36002,7,69,NSW,11781,7,69
1101803,367,1069,38895,8,74,NSW,12564,8,74
1101804,188,1005,22901,5,44,NSW,7968,5,47
1101805,237,1067,38397,8,74,NSW,12436,8,73
1101806,462,916,8827,2,17,NSW,3388,2,20
1101807,521,938,11355,3,22,NSW,4254,3,25
1101808,637,913,8438,2,17,NSW,3253,2,19
1101809,243,994,20488,4,39,NSW,7233,5,43
1101810,299,920,9259,2,18,NSW,3555,3,21
1101811,328,947,12513,3,24,NSW,4633,3,28
1101812,420,925,9805,2,19,NSW,3726,3,22
1101813,231,1036,30187,6,58,NSW,10109,6,60
1101814,259,993,20325,4,39,NSW,7180,5,42
1101815,274,1019,26052,5,50,NSW,8895,6,52
1101816,372,969,15937,4,31,NSW,5785,4,34
1101817,537,1021,26601,6,51,NSW,9057,6,53
1101818,490,993,20296,4,39,NSW,7165,5,42
1101819,347,947,12622,3,25,NSW,4671,3,28
1101820,285,811,2369,1,5,NSW,941,1,6
1101821,219,971,16151,4,31,NSW,5865,4,35
1101822,441,961,14651,3,28,NSW,5340,4,32
1101823,456,821,2681,1,6,NSW,1074,1,7
1101901,470,865,4660,1,9,NSW,1791,2,11
1101902,451,822,2709,1,6,NSW,1084,1,7
1101903,266,880,5614,2,11,NSW,2165,2,13
1101904,487,923,9611,2,19,NSW,3657,3,22
1101905,435,773,1517,1,3,NSW,614,1,4
1101906,423,936,11157,3,22,NSW,4176,3,25
1101907,358,948,12664,3,25,NSW,4685,3,28
1101908,339,936,11085,3,22,NSW,4151,3,25
1101909,315,893,6659,2,13,NSW,2580,2,16
1101910,149,1020,26233,5,50,NSW,8950,6,53
1101911,440,1025,27611,6,53,NSW,9362,6,55
1101912,382,1006,23088,5,44,NSW,8015,5,47
1101913,435,1016,25338,5,49,NSW,8676,6,51
1101914,640,1036,30302,6,58,NSW,10137,6,60
1101915,209,1038,30681,6,59,NSW,10248,6,60
1101916,469,1050,33913,7,65,NSW,11191,7,66
1101917,604,1041,31751,7,61,NSW,10559,7,62
1101918,246,1058,36211,7,69,NSW,11841,7,70
1101919,208,1000,21829,5,42,NSW,7644,5,45
1101920,286,943,12059,3,23,NSW,4487,3,27
1101921,171,1080,41738,8,80,NSW,13372,8,79
1101922,267,951,13129,3,25,NSW,4837,3,29
1102001,333,1029,28539,6,55,NSW,9635,6,57
1102002,511,1020,26371,6,51,NSW,8991,6,53
1102003,366,937,11261,3,22,NSW,4223,3,25
1102004,352,900,7234,2,14,NSW,2801,2,17
1102005,239,949,12842,3,25,NSW,4747,3,28
1102006,371,899,7206,2,14,NSW,2787,2,17
1102007,315,1025,27621,6,53,NSW,9365,6,55
1102008,367,1007,23166,5,45,NSW,8046,5,47
1102011,317,1029,28464,6,55,NSW,9614,6,57
1102013,159,963,14918,3,29,NSW,5434,4,32
1102014,198,1005,22867,5,44,NSW,7959,5,47
1102015,158,940,11608,3,23,NSW,4342,3,26
1102016,299,967,15553,3,30,NSW,5652,4,33
1102017,276,1046,32902,7,63,NSW,10883,7,64
1102018,414,1007,23292,5,45,NSW,8091,5,48
1102019,381,1010,23986,5,46,NSW,8277,5,49
1102020,507,995,20580,4,40,NSW,7268,5,43
1102022,307,937,11232,3,22,NSW,4209,3,25
1102023,273,1014,24752,5,48,NSW,8498,5,50
1102024,271,963,14897,3,29,NSW,5424,4,32
1102025,417,917,8963,2,18,NSW,3437,3,21
1102026,176,1006,23079,5,44,NSW,8013,5,47
1102027,226,989,19603,4,38,NSW,6948,5,41
1102028,401,1035,29967,6,57,NSW,10033,6,59
1102029,261,972,16376,4,32,NSW,5932,4,35
1102030,441,827,2861,1,6,NSW,1142,1,7
1102031,167,1037,30496,6,59,NSW,10195,6,60
1102032,265,952,13315,3,26,NSW,4904,3,29
1102101,346,988,19291,4,37,NSW,6859,5,41
1102102,208,1006,23126,5,44,NSW,8028,5,47
1102103,438,1031,28981,6,56,NSW,9764,6,57
1102104,440,998,21219,5,41,NSW,7465,5,44
1102105,306,915,8716,2,17,NSW,3354,2,20
1102106,579,926,9943,2,19,NSW,3769,3,22
1102107,509,1029,28570,6,55,NSW,9644,6,57
1102201,57,1069,38962,8,75,NSW,12582,8,74
1102301,376,906,7784,2,15,NSW,3009,2,18
1102302,413,997,21061,5,41,NSW,7422,5,44
1102303,276,1008,23418,5,45,NSW,8131,5,48
1102304,159,1006,23019,5,44,NSW,8001,5,47
1102305,491,899,7152,2,14,NSW,2768,2,17
1102306,311,851,3911,1,8,NSW,1527,1,9
1102307,304,819,2607,1,5,NSW,1047,1,7
1102308,558,714,841,1,2,NSW,314,1,2
1102309,313,1002,22145,5,43,NSW,7744,5,46
1102401,287,1023,27135,6,52,NSW,9220,6,54
1102402,311,1014,24852,5,48,NSW,8535,5,50
1102403,262,833,3115,1,6,NSW,1252,1,8
1102404,353,989,19604,4,38,NSW,6949,5,41
1102405,232,980,17697,4,34,NSW,6350,4,38
1102406,228,1013,24708,5,47,NSW,8483,5,50
1102407,238,988,19300,4,37,NSW,6863,5,41
1102408,294,855,4088,1,8,NSW,1591,1,10
1102409,269,1030,28688,6,55,NSW,9678,6,57
1102410,221,1000,21713,5,42,NSW,7605,5,45
1102411,254,986,18923,4,36,NSW,6741,4,40
1102412,274,1006,23143,5,45,NSW,8035,5,47
1102502,280,984,18427,4,36,NSW,6576,4,39
1102503,273,974,16786,4,32,NSW,6064,4,36
1102504,287,850,3874,1,8,NSW,1515,1,9
1102505,224,960,14423,3,28,NSW,5279,4,31
1102506,306,1004,22678,5,44,NSW,7906,5,47
1102507,262,1048,33545,7,64,NSW,11080,7,65
1102508,540,1038,30928,6,59,NSW,10313,7,61
1102509,123,1060,36776,7,70,NSW,12001,8,71
1102510,274,1081,41866,8,80,NSW,13412,8,79
1102511,399,1050,34116,7,65,NSW,11247,7,66
1102512,512,1048,33402,7,64,NSW,11036,7,65
1102513,417,974,16739,4,32,NSW,6047,4,36
1102514,217,843,3544,1,7,NSW,1411,1,9
1102515,383,947,12571,3,24,NSW,4654,3,28
1102516,264,985,18709,4,36,NSW,6671,4,39
1102517,320,1021,26443,6,51,NSW,9008,6,53
1102518,390,1066,38319,8,73,NSW,12408,8,73
1102519,272,1002,22151,5,43,NSW,7745,5,46
1102520,537,994,20539,4,40,NSW,7254,5,43
1102521,245,1019,25934,5,50,NSW,8861,6,52
1102522,342,1038,30882,6,59,NSW,10302,7,61
1102523,156,1031,29056,6,56,NSW,9792,6,58
1102524,291,1054,35066,7,67,NSW,11510,7,68
